"journal","community"
"PUBLIC HEALTH REP",3
"SAFETY SCI",55
"SCAND J WORK ENV HEA",38
"WOMEN BIRTH",3
"WORK",38
"WORKPLACE HEALTH SAF",38
"AAPG BULL",5
"ACTA CARSOLOGICA",5
"ACTA GEOD GEOPHYS",5
"ACTA GEOL POL",5
"ACTA GEOL SIN-ENGL",5
"ACTA GEOPHYS",5
"ACTA OCEANOL SIN",5
"ACTA PALAEONTOL POL",5
"ACTA PETROL SIN",5
"ADV GEOPHYS",5
"ADV WATER RESOUR",5
"AEOLIAN RES",5
"AGR WATER MANAGE",15
"AM J SCI",5
"AM MINERAL",5
"AMEGHINIANA",5
"ANDEAN GEOL",5
"ANN PALEONTOL",5
"ANN SOC GEOL POL",5
"ANNU REV EARTH PL SC",5
"ANNU REV MAR SCI",5
"APPL CLAY SCI",2
"APPL ENERG",37
"APPL GEOCHEM",5
"ARAB J GEOSCI",5
"ARAB J SCI ENG",37
"ARCH MIN SCI",66
"AUST J EARTH SCI",5
"AUSTRIAN J EARTH SCI",5
"B GEOSCI",5
"B MAR SCI",6
"B SEISMOL SOC AM",5
"B SOC GEOL FR",5
"B VOLCANOL",5
"BASIN RES",5
"BIOGEOCHEMISTRY",6
"BIOGEOSCIENCES",5
"BOREAS",5
"CALDASIA",6
"CAN J EARTH SCI",5
"CARBONATE EVAPORITE",5
"CENT EUR J GEOSCI",5
"CHEM ERDE-GEOCHEM",5
"CHEM GEOL",5
"CHEM TECH FUELS OIL+",14
"CHIN J OCEANOL LIMN",6
"CHINESE J GEOPHYS-CH",5
"CHINESE SCI BULL",5
"CLAY CLAY MINER",5
"CLIM PAST",5
"COMPUT GEOSCI-UK",5
"COMPUTAT GEOSCI",84
"CONT SHELF RES",5
"CONTRIB MINERAL PETR",5
"CORAL REEFS",6
"CR GEOSCI",5
"CRETACEOUS RES",5
"CT F-CIENC TECN FUT",14
"CURR SCI INDIA",5
"DECIS ANAL",25
"DEEP-SEA RES PT I",5
"DESALIN WATER TREAT",14
"EARTH PLANET SC LETT",5
"EARTH PLANETS SPACE",5
"EARTH SURF PROC LAND",5
"EARTH-SCI REV",5
"ECON GEOL",5
"ENERG CONVERS MANAGE",37
"ENERG EXPLOR EXPLOIT",5
"ENERG FUEL",14
"ENERG POLICY",37
"ENERG SOURCE PART A",14
"ENERGY",37
"ENG GEOL",66
"ENVIRON EARTH SCI",5
"ENVIRON FORENSICS",14
"ENVIRON MANAGE",6
"ENVIRON MONIT ASSESS",14
"ENVIRON POLLUT",14
"ENVIRON RES LETT",5
"ENVIRON SCI POLLUT R",14
"ENVIRON SCI TECHNOL",14
"EST J EARTH SCI",5
"FACIES",5
"FLUID PHASE EQUILIBR",14
"FRONT EARTH SCI-PRC",5
"FRONT MICROBIOL",1
"FUEL",14
"FUNGAL ECOL",74
"GEOARABIA",5
"GEOBIOLOGY",5
"GEOBIOS-LYON",5
"GEOCHEM GEOPHY GEOSY",5
"GEOCHEM J",5
"GEOCHEM-EXPLOR ENV A",5
"GEOCHIM COSMOCHIM AC",5
"GEODERMA",15
"GEODIVERSITAS",5
"GEOFLUIDS",5
"GEOGR FIS DIN QUAT",5
"GEOHERITAGE",5
"GEOL ACTA",5
"GEOL CARPATH",5
"GEOL CROAT",5
"GEOL J",5
"GEOL MAG",5
"GEOL Q",5
"GEOL SOC AM BULL",5
"GEOL SURV DEN GREENL",5
"GEOLOGY",5
"GEO-MAR LETT",5
"GEOMICROBIOL J",1
"GEOMORPHOLOGY",5
"GEOPHYS J INT",5
"GEOPHYS PROSPECT",5
"GEOPHYS RES LETT",5
"GEOPHYSICS",5
"GEOSCI CAN",5
"GEOSCI J",5
"GEOSPHERE",5
"GEOTECTONICS+",5
"GEOTHERMICS",37
"GFF",5
"GLOBAL PLANET CHANGE",5
"GONDWANA RES",5
"GOSPOD SUROWCAMI MIN",14
"GREENH GASES",14
"GROUND WATER",5
"HOLOCENE",5
"HYDROGEOL J",5
"HYDROL PROCESS",5
"ICARUS",5
"ICHNOS",5
"IEEE T GEOSCI REMOTE",5
"INT BIODETER BIODEGR",14
"INT GEOL REV",5
"INT J COAL GEOL",5
"INT J EARTH SCI",5
"INT J GEOGR INF SCI",18
"INT J GREENH GAS CON",14
"INT J NUMER ANAL MET",66
"INT J OIL GAS COAL T",14
"INT J ROCK MECH MIN",66
"INT J SEDIMENT RES",5
"ISL ARC",5
"ITAL J GEOSCI",5
"J AFR EARTH SCI",5
"J ANAL APPL PYROL",14
"J ANAL ATOM SPECTROM",28
"J APPL GEOPHYS",5
"J APPL MICROBIOL",23
"J ARCHAEOL SCI",50
"J ARID ENVIRON",6
"J ASIAN EARTH SCI",5
"J CAVE KARST STUD",5
"J CENT SOUTH UNIV",14
"J CHEM SCI",2
"J CHEM-NY",2
"J COASTAL RES",5
"J EARTH SCI-CHINA",5
"J EARTH SYST SCI",5
"J ENVIRON RADIOACTIV",26
"J FORAMIN RES",5
"J GEOCHEM EXPLOR",5
"J GEODYN",5
"J GEOL SOC INDIA",5
"J GEOL SOC LONDON",5
"J GEOL",5
"J GEOPHYS ENG",5
"J GEOPHYS RES",5
"J GEOTECH GEOENVIRON",66
"J HYDROL",5
"J IBER GEOL",5
"J IND ECOL",14
"J MICROPALAEONTOL",5
"J MICROSC-OXFORD",1
"J MT SCI-ENGL",5
"J NAT GAS SCI ENG",14
"J NUCL MATER",2
"J PALAEONTOL SOC IND",5
"J PALEOLIMNOL",5
"J PALEONTOL",5
"J PETROL GEOL",5
"J PETROL SCI ENG",84
"J PETROL",5
"J PHYS CHEM C",2
"J RADIOANAL NUCL CH",26
"J S AM EARTH SCI",5
"J SEA RES",6
"J SEDIMENT RES",5
"J SEISM EXPLOR",5
"J SEISMOL",5
"J STRUCT GEOL",5
"J TAIWAN INST CHEM E",14
"J THERM ANAL CALORIM",2
"J VERTEBR PALEONTOL",5
"J VOLCANOL GEOTH RES",5
"J ZHEJIANG UNIV-SC A",19
"LETHAIA",5
"LIMNOL OCEANOGR-METH",5
"LITHOL MINER RESOUR+",5
"LITHOS",5
"LITHOSPHERE-US",5
"MAR CHEM",5
"MAR ECOL PROG SER",6
"MAR FRESHWATER RES",6
"MAR GEOL",5
"MAR GEOPHYS RES",5
"MAR GEORESOUR GEOTEC",66
"MAR MICROPALEONTOL",5
"MAR PETROL GEOL",5
"MATER CONSTRUCC",19
"MATH GEOSCI",5
"MECH RES COMMUN",19
"METEORIT PLANET SCI",5
"MICROPOR MESOPOR MAT",2
"MINER DEPOSITA",5
"MOL PHYLOGENET EVOL",6
"NAT HAZARD EARTH SYS",5
"NAT HAZARDS",5
"NATURE",1
"NAUTILUS",6
"NEAR SURF GEOPHYS",5
"NEUES JAHRB GEOL P-A",5
"NEW ZEAL J GEOL GEOP",5
"NEWSL STRATIGR",5
"OIL GAS SCI TECHNOL",14
"OIL SHALE",14
"ORE GEOL REV",5
"ORG GEOCHEM",5
"P GEOLOGIST ASSOC",5
"P NATL A SCI INDIA B",15
"P NATL ACAD SCI USA",1
"PALAEOGEOGR PALAEOCL",5
"PALAEONTOL ELECTRON",5
"PALAEONTOLOGY",5
"PALAIOS",5
"PALEOBIOLOGY",5
"PALEOCEANOGRAPHY",5
"PERIOD MINERAL",5
"PERMAFROST PERIGLAC",5
"PETROL CHEM+",2
"PETROL GEOSCI",5
"PETROL SCI TECHNOL",14
"PETROL SCI",5
"PHILOS T R SOC A",2
"PHYSICOCHEM PROBL MI",14
"PRECAMBRIAN RES",5
"PROG OCEANOGR",5
"PURE APPL GEOPHYS",5
"Q J ENG GEOL HYDROGE",5
"QUATERN INT",5
"QUATERNARY RES",5
"QUATERNARY SCI REV",5
"REND LINCEI-SCI FIS",2
"RES MICROBIOL",1
"RESOUR GEOL",5
"REV BRAS PALEONTOLOG",5
"REV GEOPHYS",5
"REV MEX CIENC GEOL",5
"REV MINERAL GEOCHEM",5
"REV PALAEOBOT PALYNO",5
"RIV ITAL PALEONTOL S",5
"ROCK MECH ROCK ENG",66
"RUSS GEOL GEOPHYS+",5
"SCI CHINA EARTH SCI",5
"SCI REP-UK",2
"SCI TOTAL ENVIRON",14
"SCI WORLD J",1
"SCIENCE",1
"SCOT J GEOL",5
"SEDIMENT GEOL",5
"SEDIMENTOLOGY",5
"SEISMOL RES LETT",5
"SOLID EARTH",5
"SPE J",84
"SPE PROD OPER",84
"SPE RESERV EVAL ENG",84
"STOCH ENV RES RISK A",5
"STRATIGR GEO CORREL+",5
"SURV GEOPHYS",5
"SWISS J GEOSCI",5
"TECTONICS",5
"TECTONOPHYSICS",5
"TERR ATMOS OCEAN SCI",5
"TERRA NOVA",5
"TRANSPORT POROUS MED",84
"TURK J EARTH SCI",5
"VADOSE ZONE J",5
"WATER RESOUR RES",5
"Z DTSCH GES GEOWISS",5
"Z GEOMORPHOL",5
"ZOOTAXA",6
"AAPS J",36
"AAPS PHARMSCITECH",36
"ACS APPL MATER INTER",2
"ACS CHEM BIOL",1
"ACS CHEM NEUROSCI",1
"ACS COMB SCI",2
"ACS MED CHEM LETT",1
"ACS NANO",2
"ACTA NATURAE",1
"ACTA PHARMACOL SIN",1
"ACTA TROP",13
"ADDICT BIOL",4
"ADV DRUG DELIVER REV",36
"ADV EXP MED BIOL",1
"ADV FUNCT MATER",2
"ADV HEALTHC MATER",36
"ALTEX-ALTERN ANIM EX",38
"AM J MANAG CARE",3
"ANAL BIOANAL CHEM",28
"ANAL BIOCHEM",1
"ANAL CHEM",28
"ANAL CHIM ACTA",28
"ANALYST",28
"ANGEW CHEM INT EDIT",2
"ANNU REV PHARMACOL",1
"ANTI-CANCER DRUG",10
"ANTICANCER RES",10
"ANTIMICROB AGENTS CH",13
"ANTIOXID REDOX SIGN",1
"ANTIVIR RES",1
"ARCH PHARM RES",23
"ARCH TOXICOL",38
"ASIAN PAC J CANCER P",10
"BASIC CLIN PHARMACOL",3
"BBA-BIOMEMBRANES",1
"BBA-GEN SUBJECTS",1
"BBA-GENE REGUL MECH",1
"BBA-PROTEINS PROTEOM",1
"BEHAV BRAIN RES",4
"BEHAV PHARMACOL",4
"BIOANALYSIS",28
"BIOCHEM BIOPH RES CO",1
"BIOCHEM PHARMACOL",1
"BIOCONJUGATE CHEM",2
"BIODRUGS",1
"BIOFACTORS",1
"BIOINFORMATICS",1
"BIOL CHEM",1
"BIOL PHARM BULL",1
"BIOL PSYCHIAT",4
"BIOLOGICALS",1
"BIOMACROMOLECULES",2
"BIOMATER SCI-UK",36
"BIOMATERIALS",36
"BIOMED CHROMATOGR",28
"BIOMED MICRODEVICES",28
"BIOMED RES INT",1
"BIOORG MED CHEM LETT",1
"BIOORGAN MED CHEM",1
"BIOPHARM DRUG DISPOS",36
"BIOPHARM INT",28
"BIOPOLYMERS",1
"BIOSCI BIOTECH BIOCH",1
"BIOSENS BIOELECTRON",28
"BIOTECHNOL ADV",14
"BIOTECHNOL BIOPROC E",14
"BIOTECHNOL J",1
"BLOOD",1
"BMC BIOINFORMATICS",1
"BMC CANCER",10
"BMC COMPLEM ALTERN M",23
"BMC GENOMICS",1
"BMC MED",3
"BMC NEUROSCI",4
"BMC VET RES",31
"BMJ OPEN",3
"BMJ-BRIT MED J",3
"BRAIN BEHAV IMMUN",4
"BRAIN RES",4
"BRAZ J MED BIOL RES",1
"BRAZ J PHARM SCI",36
"BRIT J CANCER",10
"BRIT J CLIN PHARMACO",3
"BRIT J PHARMACOL",1
"CAN J PHYSIOL PHARM",1
"CANCER CHEMOTH PHARM",10
"CANCER LETT",1
"CANCER METAST REV",1
"CARBOHYD POLYM",23
"CELL BIOCHEM BIOPHYS",1
"CELL MOL NEUROBIOL",4
"CELL PHYSIOL BIOCHEM",1
"CELL TISSUE RES",1
"CHEM BIOL DRUG DES",1
"CHEM BIOL",1
"CHEM COMMUN",2
"CHEM ENG SCI",14
"CHEM PHARM BULL",23
"CHEM RES TOXICOL",38
"CHEM REV",2
"CHEM SCI",2
"CHEM SOC REV",2
"CHEM-EUR J",2
"CHEMOMETR INTELL LAB",28
"CHIANG MAI J SCI",23
"CHINESE MED J-PEKING",3
"CLIN BIOCHEM",3
"CLIN CHIM ACTA",3
"CLIN DRUG INVEST",3
"CLIN IMMUNOL",1
"CLIN INFECT DIS",13
"CLIN MICROBIOL REV",13
"CLIN PHARMACOKINET",3
"CLIN PHARMACOL THER",3
"CLIN THER",3
"CNS NEUROL DISORD-DR",4
"COLLOID SURFACE A",2
"COLLOID SURFACE B",2
"COMPR PHYSIOL",1
"COMPUT CHEM ENG",14
"COMPUT METH PROG BIO",60
"CRIT REV ONCOL HEMAT",10
"CRIT REV SOLID STATE",2
"CRIT REV THER DRUG",36
"CRYST GROWTH DES",2
"CURR CANCER DRUG TAR",1
"CURR DRUG DELIV",36
"CURR DRUG METAB",36
"CURR GENE THER",1
"CURR MED CHEM",1
"CURR MOL MED",1
"CURR NANOSCI",2
"CURR OPIN CHEM BIOL",1
"CURR OPIN NEPHROL HY",35
"CURR ORG CHEM",2
"CURR PHARM BIOTECHNO",1
"CURR PHARM DESIGN",1
"CURR TOP MED CHEM",1
"DISSOLUT TECHNOL",36
"DNA CELL BIOL",1
"DRUG ALCOHOL DEPEN",11
"DRUG CHEM TOXICOL",38
"DRUG DELIV",36
"DRUG DES DEV THER",3
"DRUG DEV IND PHARM",36
"DRUG DEVELOP RES",3
"DRUG DISCOV TODAY",1
"DRUG METAB DISPOS",36
"DRUG METAB REV",36
"DRUG TEST ANAL",28
"DRUG TODAY",3
"DRUGS",3
"EPILEPSIA",4
"EUR J APPL PHYSIOL",40
"EUR J CANCER",10
"EUR J CLIN PHARMACOL",3
"EUR J MED CHEM",1
"EUR J PHARM BIOPHARM",36
"EUR J PHARM SCI",36
"EUR J PHARMACOL",1
"EUR NEUROPSYCHOPHARM",11
"EVID-BASED COMPL ALT",23
"EXP NEUROL",4
"EXP THER MED",1
"EXPERT OPIN BIOL TH",1
"EXPERT OPIN DRUG DEL",36
"EXPERT OPIN DRUG DIS",1
"EXPERT OPIN DRUG MET",36
"FARMACIA",36
"FASEB J",1
"FEBS J",1
"FEBS LETT",1
"FITOTERAPIA",23
"FOOD CHEM TOXICOL",23
"FOOD CHEM",23
"FOOD RES INT",23
"FOOD TECHNOL BIOTECH",23
"FORENSIC SCI INT",75
"FREE RADICAL BIO MED",1
"FUND CLIN PHARMACOL",3
"FUTURE ONCOL",10
"FUTURE VIROL",1
"GENE THER",1
"HEPATOLOGY",16
"HISTOCHEM CELL BIOL",1
"HUM GENE THER",1
"HUM VACC IMMUNOTHER",13
"INDIAN J PHARM EDUC",36
"INT IMMUNOPHARMACOL",1
"INT J ANTIMICROB AG",13
"INT J BIOL MACROMOL",23
"INT J CARDIOL",3
"INT J CLIN PHARM TH",3
"INT J LEGAL MED",75
"INT J MOL MED",1
"INT J MOL SCI",1
"INT J NANOMED",36
"INT J NEUROPSYCHOPH",4
"INT J ONCOL",1
"INT J PHARMACEUT",36
"INTEGR BIOL-UK",1
"INVEST NEW DRUG",10
"INVEST OPHTH VIS SCI",41
"IRAN J PHARM RES",23
"ISR J CHEM",2
"J AGR FOOD CHEM",23
"J AM CHEM SOC",2
"J AM SOC MASS SPECTR",28
"J ANAL TOXICOL",28
"J ANTIMICROB CHEMOTH",13
"J AOAC INT",28
"J APPL POLYM SCI",2
"J APPL TOXICOL",38
"J BIOL CHEM",1
"J BIOMATER TISS ENG",36
"J BIOMED MATER RES A",36
"J BIOMED NANOTECHNOL",36
"J BIOMED OPT",2
"J BIOSCI BIOENG",14
"J CANCER RES CLIN",10
"J CELL BIOCHEM",1
"J CEREBR BLOOD F MET",4
"J CHEM ENG DATA",14
"J CHEM INF MODEL",1
"J CHEMINFORMATICS",1
"J CHROMATOGR A",28
"J CHROMATOGR B",28
"J CLIN ENDOCR METAB",3
"J CLIN PHARMACOL",3
"J CLIN PSYCHOPHARM",11
"J COLLOID INTERF SCI",2
"J CONTROL RELEASE",36
"J DRUG TARGET",36
"J ETHNOPHARMACOL",23
"J HEMATOL ONCOL",10
"J HEPATOL",16
"J HISTOCHEM CYTOCHEM",1
"J IMMUNOL METHODS",1
"J INCL PHENOM MACRO",2
"J LABELLED COMPD RAD",26
"J LIPOSOME RES",36
"J LIQ CHROMATOGR R T",28
"J MATER CHEM B",2
"J MED CHEM",1
"J MICROENCAPSUL",36
"J NANOBIOTECHNOL",36
"J NANOMATER",2
"J NANOPART RES",2
"J NANOSCI NANOTECHNO",2
"J NAT PROD",23
"J NEUROCHEM",4
"J NEUROIMMUNOL",4
"J NEUROSCI",4
"J NEUROTRAUM",4
"J NUCL MED",26
"J NUTR BIOCHEM",1
"J OCUL PHARMACOL TH",41
"J OVARIAN RES",1
"J PEDIATR-US",3
"J PHARM PHARM SCI",36
"J PHARM PHARMACOL",36
"J PHARM SCI-US",36
"J PHARMACEUT BIOMED",28
"J PHARMACOKINET PHAR",36
"J PHARMACOL EXP THER",1
"J PHARMACOL TOX MET",1
"J PHYS CHEM B",2
"J PROTEOME RES",1
"J THROMB HAEMOST",3
"LAB CHIP",28
"LANGMUIR",2
"LAT AM J PHARM",36
"LIFE SCI",1
"LIVER INT",16
"MABS-AUSTIN",1
"MACROMOL BIOSCI",36
"MACROMOL CHEM PHYS",2
"MED ONCOL",10
"MED RES REV",1
"MEDCHEMCOMM",1
"MEDIAT INFLAMM",1
"METHODS",1
"MINI-REV MED CHEM",1
"MINI-REV ORG CHEM",2
"MITOCHONDRION",1
"MOL ASPECTS MED",1
"MOL BIOSYST",1
"MOL BIOTECHNOL",1
"MOL CELL BIOCHEM",1
"MOL CELL BIOL",1
"MOL IMAGING BIOL",26
"MOL INFORM",1
"MOL MED REP",1
"MOL NUTR FOOD RES",23
"MOL PHARMACEUT",36
"MOL PHARMACOL",1
"MOL THER",1
"MOLECULES",23
"MOVEMENT DISORD",4
"NANOMEDICINE-UK",36
"NANOMED-NANOTECHNOL",36
"NANOSCALE",2
"NANOTECHNOLOGY",2
"NAT METHODS",1
"NAT PROD COMMUN",23
"NAT PROD REP",23
"NAT PROTOC",1
"NAT REV RHEUMATOL",42
"NEUROCHEM RES",4
"NEUROIMAGE",4
"NEUROPHARMACOLOGY",4
"NEUROPSYCH DIS TREAT",11
"NEUROPSYCHOPHARMACOL",4
"NEUROSCI BIOBEHAV R",4
"NEUROSCI LETT",4
"NEUROSCIENCE",4
"NEUROTOX RES",4
"NEUROTOXICOLOGY",38
"NEW BIOTECHNOL",14
"NMR BIOMED",26
"N-S ARCH PHARMACOL",1
"NUCLEIC ACIDS RES",1
"NUTR CANCER",10
"ONCOL LETT",10
"ONCOL REP",1
"ORG BIOMOL CHEM",2
"ORG PROCESS RES DEV",2
"OSTEOARTHR CARTILAGE",42
"OXID MED CELL LONGEV",1
"PANCREATOLOGY",16
"PARASITOL RES",13
"PEDIAT ALLERG IMM-UK",3
"PEDIATR ANESTH",3
"PEPTIDES",1
"PHARM DEV TECHNOL",36
"PHARM RES-DORDR",36
"PHARM STAT",24
"PHARMACOGENOMICS J",3
"PHARMACOGENOMICS",3
"PHARMACOL BIOCHEM BE",4
"PHARMACOL REP",4
"PHARMACOL REV",1
"PHARMACOL THERAPEUT",1
"PHYTOTHER RES",23
"PLOS COMPUT BIOL",1
"POWDER TECHNOL",14
"PROCESS BIOCHEM",14
"PROG CHEM",2
"PROG MOL BIOL TRANSL",1
"PROTEIN SCI",1
"PROTEINS",1
"PSYCHIAT RES",11
"PSYCHOPHARMACOLOGY",4
"RAPID COMMUN MASS SP",28
"REGUL TOXICOL PHARM",38
"REPROD TOXICOL",38
"RES VET SCI",31
"RESP PHYSIOL NEUROBI",40
"RESPIROLOGY",3
"RSC ADV",2
"RUSS CHEM REV+",2
"SAUDI PHARM J",36
"SCHIZOPHR RES",11
"SENSORS-BASEL",2
"SKIN PHARMACOL PHYS",36
"SKIN RES TECHNOL",54
"SOFT MATTER",2
"SPECTROSCOPY-US",28
"STAT MED",24
"STEM CELL RES THER",1
"STEM CELLS",1
"SYNAPSE",4
"SYNTHESIS-STUTTGART",2
"TALANTA",28
"THER DRUG MONIT",3
"THER INNOV REGUL SCI",3
"TOP CURR CHEM",2
"TOXICOL APPL PHARM",38
"TOXICOL IN VITRO",38
"TOXICOL LETT",38
"TOXICOL RES-UK",38
"TOXICOL SCI",38
"TOXICOLOGY",38
"TOXINS",1
"TRAC-TREND ANAL CHEM",28
"TRENDS PHARMACOL SCI",1
"TROP J PHARM RES",36
"ULTRASOUND MED BIOL",51
"VACCINE",13
"VASC PHARMACOL",1
"VET CLIN PATH",31
"WIRES NANOMED NANOBI",36
"WIRES SYST BIOL MED",1
"WORLD J GASTROENTERO",16
"XENOBIOTICA",36
"ACTA BIOMATER",36
"ACTA PHARMACEUT",36
"ACTA POL PHARM",36
"ACTA POLYM SIN",2
"ADV POLYM SCI",2
"ADV POLYM TECH",2
"ADV POWDER TECHNOL",2
"AICHE J",14
"AIDS RES THER",13
"ANAL METHODS-UK",28
"ANESTH ANALG",3
"ASIAN J CHEM",2
"AUST J CHEM",2
"BIOMED PHARMACOTHER",1
"BIOTECHNOL BIOENG",14
"BIOTECHNOL BIOTEC EQ",15
"BRAZ ARCH BIOL TECHN",23
"CELLULOSE",2
"CHEM ENG J",14
"CHEM ENG RES DES",14
"CHEM RES CHINESE U",2
"CHINESE J CHEM",2
"CHINESE J POLYM SCI",2
"CLEAN-SOIL AIR WATER",14
"COLLOID J+",2
"COLLOID POLYM SCI",2
"CORNEA",41
"CURR OPIN COLLOID IN",2
"CURR OPIN PHARMACOL",1
"CURR PHARM ANAL",28
"DALTON T",2
"DARU",23
"DES MONOMERS POLYM",2
"DIG J NANOMATER BIOS",2
"DRY TECHNOL",23
"EXP EYE RES",41
"FOOD BIOPROCESS TECH",23
"FOOD HYDROCOLLOID",23
"GIORN ITAL DERMAT V",54
"HUM EXP TOXICOL",38
"IND CROP PROD",23
"IND ENG CHEM RES",14
"INDIAN J PHARM SCI",36
"INFLAMMATION",1
"INNOV FOOD SCI EMERG",23
"INORG CHEM",2
"INT J FOOD ENG",23
"INT J OPHTHALMOL-CHI",41
"INT J POLYM ANAL CH",2
"INT J POLYM MATER PO",2
"IRAN J BASIC MED SCI",1
"IRAN POLYM J",2
"J AEROSOL MED PULM D",3
"J ALLERGY CLIN IMMUN",3
"J ANAL METHODS CHEM",28
"J BIOBASED MATER BIO",14
"J BIOMAT SCI-POLYM E",36
"J BIOPHOTONICS",2
"J CHEM TECHNOL BIOT",14
"J DISPER SCI TECHNOL",2
"J FOOD ENG",23
"J MAGN MAGN MATER",2
"J MATER SCI",2
"J MATER SCI-MATER M",36
"J MEMBRANE SCI",14
"J MOL LIQ",2
"J MOL MODEL",2
"J NEAR INFRARED SPEC",28
"J PHARM INNOV",36
"J PHOTOCH PHOTOBIO B",2
"J POLYM ENVIRON",2
"J POLYM RES",2
"J POLYM SCI POL CHEM",2
"J SCI IND RES INDIA",14
"J SOLUTION CHEM",2
"J SUPERCRIT FLUID",14
"J TEXT I",85
"KONA POWDER PART J",2
"KOREAN J PHYSIOL PHA",1
"MACROMOL REACT ENG",2
"MACROMOL RES",2
"MAT SCI ENG C-MATER",2
"MICROCHEM J",28
"MYCOSES",13
"NANOSCI NANOTECH LET",2
"NAT PROD RES",23
"ONCOGENE",1
"ORG LETT",2
"PAK J PHARM SCI",23
"PHARMAZIE",36
"PHOTOCHEM PHOTOBIOL",2
"PHYS CHEM CHEM PHYS",2
"PLANTA MED",23
"POLYMER",2
"PROG BIOCHEM BIOPHYS",1
"QUIM NOVA",23
"RADIAT PHYS CHEM",2
"RECENT PAT NANOTECH",2
"REV ADV MATER SCI",2
"REV BRAS FARMACOGN",23
"REV CHIM-BUCHAREST",2
"SOFT MATER",2
"SPECTROCHIM ACTA A",2
"STARCH-STARKE",23
"TEXT RES J",85
"AATCC REV",85
"CELL CHEM TECHNOL",79
"COLOR TECHNOL",85
"DYES PIGMENTS",2
"FIBER POLYM",85
"FIBRES TEXT EAST EUR",85
"IND TEXTILA",85
"INDIAN J FIBRE TEXT",85
"J AM LEATHER CHEM AS",109
"J CLEAN PROD",14
"J FIRE SCI",19
"J IND TEXT",85
"MATER CHEM PHYS",2
"REACT FUNCT POLYM",2
"SURF COAT TECH",2
"ABACUS",61
"ACCOUNT AUDIT ACCOUN",61
"ACCOUNT BUS RES",61
"ACCOUNT FINANC",61
"ACCOUNT HORIZ",61
"ACCOUNT ORG SOC",61
"ACCOUNT REV",61
"ASIA-PAC J FINANC ST",7
"AUDITING-J PRACT TH",61
"AUST ACCOUNT REV",61
"AUST J MANAGE",61
"BUS STRATEG ENVIRON",12
"CHEM PHYS LETT",2
